NAME,ORG ID
"Winchester Interconnect Hermetics, LLC",13
Amphenol Aerospace,33
EAGLE PICHER,38
EAGLE PICHER ENERGY PRODUCTS,38
EAGLE PICHER TECHNOLOGIES,38
"EAGLE PICHER TECHNOLOGIES, LLC",38
"EGIDE USA, INC.",40
ES COMPONENTS,47
"ELECTRO DYNAMICS, INC./L3 HARRIS",55
"L3 FUZING & ORDNANCE SYSTEMS, INC.",55
"L-3 FUZING & ORDNANCE SYSTEMS, INC.",55
PARKER HANNIFIN CORP,421
PARKER HANNIFIN CORP- AEROSPACE FILTRATION,421
PARKER HANNIFIN CORP.,421
PARKER HANNIFIN CORPORATION,421
TE CONNECTIVITY CORPORATION,501
CIRTEC MEDICAL,632
CHEMRING ENERGETIC DEVICES,652
"SAFARI CIRCUITS, LLC",659
ABBOTT,686
ABBOTT MEDICAL DEVICES,686
MEDTRONIC INC.,705
MEDTRONIC MECC SOUTH CRM,705
BIOTRONIK SE & CO. KG,732
SAFRAN,740
SAFRAN AEROSYSTEMS,740
"SAFRAN ELECTRICAL & POWERS USA,LLC",740
SAFRAN ELECTRICAL AND POWER,740
SAFRAN ELECTRICAL POWER LLC,740
GENERAL ELECTRIC COMPANY,741
ADVANCED THERMAL BATTERIES,751
CCC MEDICAL DEVICES,758
GOODRICH AEROSPACE SERVICES PVT LTD,760
GOODRICH INTERIORS SYSTEM,760
INTEGER,810
"CORNELL DUBILIER MKT.,INC.",858
EMERSON,860
NAVAL SURFACE WARFARE CTR.,861
"MAROTTA CONTROLS, INC.",867
ROSEMOUNT AEROSPACE INC,868
RUSSELL NDE SYSTEMS INC,870
LITRONIK BATTERIETECHNOLOGIE GMBH,879
CELESTICA,883
ST JUDE MEDICAL,896
ST. JUDE MEDICAL / PACESETTER INC,896
ST. JUDE MEDICAL MAVEN,896
"JUDCO MANUFACTURING, INC.",999
MINI CIRCUITS INC,1009
"SIEMENS INDUSTRY, INC.",1106
BOSTON SCIENTIFIC CLONMEL LIMITED,1122
BOSTON SCIENTIFIC CORPORATION,1122
"ELECTROCHEM SOLUTIONS, INC.",1164
RESONETICS,1200
RESONETICS MEDICAL POWER CANADA ULC,1200
DAYTON ROGERS MANUFACTURING CO.,1210
DAYTON ROGERS MANUFACTURING COMPANY,1210
G W LISK COMPANY INC,1406
"BEIJING PINS MEDICAL Co., LTD.",1407
ASHCROFT INC.,1409
GLUCOTRACK,1422
FLOWSERVE US INC.,1426
"SUZHOU SCENERAY MEDICAL DEVICESCO., LTD.",1433
"SUZHOU SINGULAR MEDICAL CO., LTD",1433
SPECTRUM CONTROLS,1437
GENERAL ATOMICS,2107
ROCKWELL COLLINS INC.,2149
PACIFIC AEROSPACE & ELECTRONICS,2201
ZODIAC AEROSPACE,2231
ZODIAC AEROSPACE /  AVOX SYSTEMS INC.,2231
"CHAMPION AEROSPACE, INC.",2292
GENERAL DYNAMICS ORDNANCE SYST,2318
GENERAL DYNAMICS OTS,2318
"WENCOR, LLC",2344
COLLINS AEROSPACE,2485
LIQUIFLO EQUIPMENT CO,2661
PROMPTON TOOL INC,2683
STACOSYSTEMS INC.,2697
UNISON INDUSTRIES,2708
HONEYWELL INTERNATIONAL INC.,2751
HONEYWELL SENSING & CONTROL,2751
RESOLUTION MEDICAL,2783
NEMAK,2789
ENERSYS,2869
ENERSYS ADVANCED SYSTEMS,2869
"ENERSYS ADVANCED SYSTEMS, INC",2869
"SETRA SYSTEMS, INC",3655
AMETEK/ROTRON INC,3840
"APPLIED AVIONICS, INC.",3850
"MIRION TECHNOLOGIES, INC.",4209
MORGAN ADVANCED MATERIALS,4219
NEXTPHASE MEDICAL DEVICES (MA) LLC,4239
PALL AEROPOWER CORPORATION,4258
VISHAY ISRAEL LTD,4321
VISHAY TRANSITOR,4321
AMETEK,4378
ACME AEROSPACE INC,4427
SERVOMETER,4465
ENGINEERED POWER LIMITED PARTNERSHIP,4512
"ENGINEERED POWER, INC.",4512
VELENTIUM MEDICAL,4587
SINGULAR GENOMICS,4592
CIRCOR INSTRUMENTATION TECHNOLOGIES,4598
SALUDA MEDICAL,4619
TELEDYNE E2V LIMITED,4705
McMULLIN MANUFACTURING CORP.,4782
MAGTECH / EPM,4783
JUNIPER BIOMEDICAL,4793
"SIMMONDS PRECISION PRODUCTS, INC.",5230
MERRIMAC INDUSTRIES,5239
"BROOKS AUTOMATION, INC.",5245
CONCOA,5357
DRUCKER DIAGNOSTICS (QBC),5358
"ENLIGHT MEDICAL TECHNOLOGIES CO., LTD",5359
EXCELITAS TECHNOLOGIES,5360
GREENRAY INDUSTRIES,5361
JOGLER LLC,5362
MED-ALLY LLC,5363
MID-CONTINENT INSTRUMENTS,5364
MSB LIMITED,5365
RAIN BIRD CORP COMMERCIAL MFG DIV,5366
TADIRAN BATTERIES LTD.-VAT #512074428,5367
"TECHNICAL ORDNANCE,INC",5368
WILCOXON SENSING TECHNOLOGIES,5369
ASCO POWER TECHNOLOGIES,5393
"ASPEN COMPRESSOR, LLC",5390
"C B KAUPP & SONS, INC.",5391
CLARK-RELIANCE CORP.,5392
DAICO INDUSTRIES,5395
DR. GASSLER ELECTRON DEVICES GMBH,5389
"GILBARCO, INC.",5394
HANGZHOU GENERALSTIM BIOTECHNOLOGY,5397
KILGORE  FLARES COMPANY LLC,5396
MAINE POINTE,5398
"MAXPOWER, INC.",5399
NOISEWAVE CORPORATION,5403
ORION INSTRUMENTS,5400
PROCESS LEVEL TECHNOLOGY,5401
"QCC, LLC",5402
Reynolds Systems Inc,5404
SHREE PACETRONIX LTD.,5408
UTC AEROSPACE SYSTEMS,5406
VALLEY PRECISION INC.,5405
"VENTEC LIFE SYSTEMS, INC",5407
